Id,Pk,Label,Title,Year:int,Minutes:int
tt0080384,tt0080384,Movie,Arrivano i bersaglieri,1980,120
tt0080388,tt0080388,Movie,Atlantic City,1980,104
tt0080401,tt0080401,Movie,The Warning,1980,108
tt0080402,tt0080402,Movie,The Awakening,1980,105
tt0080408,tt0080408,Movie,Bad Timing/A Sensual Obsession,1980,123
tt0080409,tt0080409,Movie,Village in the Jungle,1980,130
tt0080412,tt0080412,Movie,The Baltimore Bullet,1980,103
tt0080415,tt0080415,Movie,The Lady Banker,1980,131
tt0080419,tt0080419,Movie,Barnens ö,1980,109
tt0080421,tt0080421,Movie,Battle Beyond the Stars,1980,104
tt0080428,tt0080428,Movie,The Gang Next Door,1980,102
tt0080430,tt0080430,Movie,Berlin Chamissoplatz,1980,112
tt0080432,tt0080432,Movie,Beyond Reasonable Doubt,1980,129
tt0080434,tt0080434,Movie,Bez milosci,1980,103
tt0080435,tt0080435,Movie,Bhavni Bhavai,1981,135
tt0080437,tt0080437,Movie,The Big Red One,1980,113
tt0080439,tt0080439,Movie,The Taming of the Scoundrel,1980,107
tt0080441,tt0080441,Movie,Black Jack,1981,104
tt0080442,tt0080442,Movie,The Black Marble,1980,113
tt0080445,tt0080445,Movie,Blomstrande tider,1980,106
tt0080447,tt0080447,Movie,The Blood of Hussain,1980,112
tt0080453,tt0080453,Movie,The Blue Lagoon,1980,104
tt0080455,tt0080455,Movie,The Blues Brothers,1980,133
tt0080469,tt0080469,Movie,Breaking Glass,1980,104
tt0080472,tt0080472,Movie,Bronco Billy,1980,116
tt0080474,tt0080474,Movie,Brubaker,1980,131
tt0080480,tt0080480,Movie,Burebista,1980,142
tt0080482,tt0080482,Movie,Bye Bye Brazil,1980,100
tt0080484,tt0080484,Movie,Bárbara,1980,100
tt0080486,tt0080486,Movie,Devil Hunter,1980,102
tt0080488,tt0080488,Movie,Café Express,1980,100
tt0080489,tt0080489,Movie,La Cage aux Folles II,1980,101
tt0080492,tt0080492,Movie,Can't Stop the Music,1980,124
tt0080494,tt0080494,Movie,Mercenaries' Trap,1981,111
tt0080498,tt0080498,Movie,Cariñosamente infiel,1981,100
tt0080500,tt0080500,Movie,Carny,1980,107
tt0080502,tt0080502,Movie,La casa del paraíso,1982,116
tt0080508,tt0080508,Movie,Cecilia,1982,127
tt0080509,tt0080509,Movie,Celles qu'on n'a pas eues...,1981,105
tt0080514,tt0080514,Movie,Chakra,1981,140
tt0080515,tt0080515,Movie,A Change of Seasons,1980,102
tt0080516,tt0080516,Movie,The Changeling,1980,107
tt0080525,tt0080525,Movie,Children of Babylon,1980,122
tt0080535,tt0080535,Movie,Certas Palavras com Chico Buarque,1980,113
tt0080536,tt0080536,Movie,Obsession,1980,106
tt0080539,tt0080539,Movie,City of Women,1980,139
tt0080541,tt0080541,Movie,Clara et les Chics Types,1981,110
tt0080545,tt0080545,Movie,Cloud Dancer,1980,104
tt0080547,tt0080547,Movie,Cma,1980,100
tt0080549,tt0080549,Movie,Coal Miner's Daughter,1980,124
tt0080552,tt0080552,Movie,Cocktail Molotov,1980,100
tt0080554,tt0080554,Movie,Colegas,1982,117
tt0080556,tt0080556,Movie,The Competition,1980,123
tt0080557,tt0080557,Movie,Con... fusion,1980,100
tt0080560,tt0080560,Movie,The Conquest of Paradise,1981,103
tt0080563,tt0080563,Movie,The Other One,1981,100
tt0080569,tt0080569,Movie,Cruising,1980,102
tt0080571,tt0080571,Movie,The Red Horse,1981,137
tt0080577,tt0080577,Movie,Csontváry,1980,112
tt0080585,tt0080585,Movie,Los cántabros,1980,107
tt0080586,tt0080586,Movie,Dach überm Kopf,1980,109
tt0080605,tt0080605,Movie,Defiance,1980,103
tt0080610,tt0080610,Movie,The Last Metro,1980,131
tt0080616,tt0080616,Movie,Germany Pale Mother,1980,123
tt0080619,tt0080619,Movie,Deux lions au soleil,1980,110
tt0080627,tt0080627,Movie,Die Laughing,1980,108
tt0080635,tt0080635,Movie,El divorcio que viene,1980,106
tt0080638,tt0080638,Movie,Do Aur Do Paanch,1980,132
tt0080641,tt0080641,Movie,The Dogs of War,1980,119
tt0080653,tt0080653,Movie,Friendship,1980,152
tt0080661,tt0080661,Movie,Dressed to Kill,1980,104
tt0080673,tt0080673,Movie,The Fascist Jew,1980,102
tt0080678,tt0080678,Movie,The Elephant Man,1980,124
tt0080682,tt0080682,Movie,Emperor Chien Lung and the Beauty,1980,100
tt0080684,tt0080684,Movie,Star Wars: Episode V - The Empire Strikes Back,1980,124
tt0080686,tt0080686,Movie,Slow Attack,1980,112
tt0080687,tt0080687,Movie,One Man's Loss,1980,106
tt0080700,tt0080700,Movie,Eugenio,1980,110
tt0080705,tt0080705,Movie,Exit... But No Panic,1980,105
tt0080707,tt0080707,Movie,The Exterminator,1980,104
tt0080709,tt0080709,Movie,Fabian,1980,110
tt0080711,tt0080711,Movie,Fade to Black,1980,102
tt0080714,tt0080714,Movie,Falling in Love Again,1980,103
tt0080715,tt0080715,Movie,The Falls,1980,195
tt0080716,tt0080716,Movie,Fame,1980,134
tt0080717,tt0080717,Movie,My Young Auntie,1981,121
tt0080718,tt0080718,Movie,Fantastica,1980,110
tt0080726,tt0080726,Movie,Legend of the Fox,1980,129
tt0080728,tt0080728,Movie,The Aviator's Wife,1981,106
tt0080731,tt0080731,Movie,The Fiendish Plot of Dr. Fu Manchu,1980,100
tt0080736,tt0080736,Movie,The Final Countdown,1980,103
tt0080738,tt0080738,Movie,The First Deadly Sin,1980,112
tt0080743,tt0080743,Movie,The Flag of Iron,1980,113
tt0080745,tt0080745,Movie,Flash Gordon,1980,111
tt0080747,tt0080747,Movie,Flight Level 450,1980,107
tt0080750,tt0080750,Movie,Foolin' Around,1980,111
tt0080754,tt0080754,Movie,The Formula,1980,117
tt0080756,tt0080756,Movie,Foxes,1980,106
tt0080768,tt0080768,Movie,Day of Resurrection,1980,156
tt0080775,tt0080775,Movie,Ganga Aur Suraj,1980,157
tt0080784,tt0080784,Movie,Getting Over,1981,108
tt0080798,tt0080798,Movie,Gloria,1980,123
tt0080801,tt0080801,Movie,The Gods Must Be Crazy,1980,109
tt0080813,tt0080813,Movie,The Great Rock 'n' Roll Swindle,1980,103
tt0080820,tt0080820,Movie,Big and Little,1980,269
tt0080825,tt0080825,Movie,Guardafronteras,1981,129
tt0080827,tt0080827,Movie,Encounter of the Spooky Kind,1980,102
tt0080828,tt0080828,Movie,Encounter of the Spooky Kind II,1989,100
tt0080837,tt0080837,Movie,Happy Birthday Gemini,1980,107
tt0080854,tt0080854,Movie,Heart Beat,1980,110
tt0080855,tt0080855,Movie,Heaven's Gate,1980,219
tt0080856,tt0080856,Movie,The Kingdom of Diamonds,1980,118
tt0080861,tt0080861,Movie,Herbie Goes Bananas,1980,100
tt0080867,tt0080867,Movie,Baba!,1983,101
tt0080875,tt0080875,Movie,Historias de amor y brujería,1980,120
tt0080882,tt0080882,Movie,Man of Fashion,1980,103
tt0080888,tt0080888,Movie,Honeysuckle Rose,1980,119
tt0080889,tt0080889,Movie,Hopscotch,1980,106
tt0080892,tt0080892,Movie,Hotel Paradise,1980,101
tt0080895,tt0080895,Movie,How to Beat the High Cost of Living,1980,105
tt0080901,tt0080901,Movie,Hum Paanch,1980,163
tt0080906,tt0080906,Movie,Hungerjahre - in einem reichen Land,1980,113
tt0080910,tt0080910,Movie,The Age of the Earth,1980,140
tt0080913,tt0080913,Movie,The Idolmaker,1980,117
tt0080923,tt0080923,Movie,Inferno,1980,106
tt0080924,tt0080924,Movie,So Feared a Hell,1980,110
tt0080926,tt0080926,Movie,Insaf Ka Tarazu,1980,146
tt0080928,tt0080928,Movie,Inside Moves,1980,113
tt0080929,tt0080929,Movie,Inspector Blunder,1980,100
tt0080934,tt0080934,Movie,The Island,1980,109
tt0080941,tt0080941,Movie,Jadup und Boel,1980,100
tt0080945,tt0080945,Movie,Jane Austen in Manhattan,1980,111
tt0080948,tt0080948,Movie,The Jazz Singer,1980,115
tt0080950,tt0080950,Movie,Rat Race,1980,105
tt0080951,tt0080951,Movie,Je vous aime,1980,105
tt0080957,tt0080957,Movie,The Games of Countess Dolingen,1981,114
tt0080961,tt0080961,Movie,The Imperious Princess,1980,105
tt0080962,tt0080962,Movie,Deathquake,1980,126
tt0080969,tt0080969,Movie,Journeys from Berlin/1971,1980,125
tt0080975,tt0080975,Movie,Just Tell Me What You Want,1980,112
tt0080979,tt0080979,Movie,Kagemusha,1980,180
tt0080982,tt0080982,Movie,Kalyug,1981,152
tt0080983,tt0080983,Movie,The Candidate,1980,129
tt0080997,tt0080997,Movie,The Kidnapping of the President,1980,114
tt0080998,tt0080998,Movie,Quilas the Bad of the Picture,1980,124
tt0081004,tt0081004,Movie,Klondike Fever,1980,119
tt0081006,tt0081006,Movie,Kojak Budapesten,1980,103
tt0081009,tt0081009,Movie,Koney na pereprave ne menyayut,1981,144
tt0081013,tt0081013,Movie,Koto,1980,125
tt0081014,tt0081014,Movie,Krakh operatsii Terror,1981,145
tt0081024,tt0081024,Movie,Köszönöm megvagyunk,1981,101
tt0081028,tt0081028,Movie,Lady Grey,1980,111
tt0081032,tt0081032,Movie,The Last Married Couple in America,1980,103
tt0081043,tt0081043,Movie,Lenin in Paris,1981,106
tt0081045,tt0081045,Movie,Levins Mühle,1980,113
tt0081059,tt0081059,Movie,Lion of the Desert,1980,173
tt0081063,tt0081063,Movie,Little Miss Marker,1980,103
tt0081066,tt0081066,Movie,La locandiera,1980,109
tt0081070,tt0081070,Movie,The Long Good Friday,1980,114
tt0081071,tt0081071,Movie,The Long Riders,1980,100
tt0081073,tt0081073,Movie,Loophole,1981,105
tt0081076,tt0081076,Movie,Loulou,1980,110
tt0081083,tt0081083,Movie,The Lucky Star,1980,110
tt0081087,tt0081087,Movie,Lumina palida a durerii,1980,146
tt0081110,tt0081110,Movie,The Man with Bogart's Face,1980,106
tt0081113,tt0081113,Movie,Morning Undersea,1980,127
tt0081115,tt0081115,Movie,City After Dark,1980,150
tt0081117,tt0081117,Movie,The Man Who Went Up in Smoke,1980,111
tt0081118,tt0081118,Movie,Mannen som blev miljonär,1980,100
tt0081120,tt0081120,Movie,Manoa,1980,102
